KEGG,Plimited_extracellular_s9301ax_50,Plimited_filter_s9301ax_50,replete_extracellular_s9301ax_10,replete_extracellular_s9301ax_50,replete_extracellular_s0801ax_10,replete_extracellular_s9313ax_5,replete_extracellular_s9313ax_10,replete_filter_s9301ax_10,replete_filter_s9301ax_50,replete_filter_s0801ax_10,replete_filter_s9313ax_5,replete_filter_s9313ax_10
C00019,0,1147.10237811795,0,0,0,0,0,704.252381947288,3872.22034443299,603.669711691729,472.859176611515,741.494983116332
C00213,0,0,0,0,0,0,0,0,0,0,0,0
C00065,0,0,0,0,0,0,0,0,0,0,0,0
C00093,0,0,0,0,0,0,0,0,0,0,0,0
C05122,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,51.9651776660168,0,10.2401390899483,0,0,1326.03182077075,1342.20933476901,1440.98112013627,1934.62758764838,2651.60263150522
C00042,0,0,30.5319060678842,0,0,146.286959883753,39.452372599766,0,0,0,0,0
C10833,0,0,0,0,0,0,0,0,0,0,0,0
C00245,0,0,0,0,0,0,0,0,0,0,0,0
C00378,0,0,0,0,0,0,0,0,0,0,0,0
C01081,0,0,0,0,0,0,0,0,0,0,0,0
C00188,0,0,0,0,0,0,0,0,0,0,0,0
C00214,55168.7772980232,0,91857.8135112489,118683.38346249,64392.16621532,15000.9307796545,35409.8781071175,0,0,0,0,0
C00398,0,0,0,0,0,0,0,0,0,0,0,0
C00078,0,194.240881554513,27.8094746208785,0,2081.02228581179,877.293553713356,563.470452100917,254.645228102612,366.529175286373,1190.08808677879,690.314941763682,901.649552275255
C00106,0,0,0,0,0,0,0,0,0,0,1263.53868281294,0
C00105,0,0,0,0,0,0,0,0,2526.72136437218,0,0,0
C00183,0,184.493986348964,0,25.2275919623883,0,120.341731118535,0,79.5688116192282,357.570340779708,128.275351504144,3655.78317233272,3841.07629742424
C00385,0,0,0,0,28.9190888979983,0,58.4767129035041,0,0,0,0,0
C01762,0,0,0,0,0,306.961618681238,0,0,0,0,0,0
